Date,Category,payment mode,Description,cashback,Amount
2024-03-22,Bills,UPI,Paid electricity bill,42.87,997.38
2024-03-12,Health,Cash,Purchased vitamins and supplements,0.0,433.13
2024-03-20,Health,Credit Card,Paid for doctor consultation,0.0,102.22
2024-03-25,Investment,Cash,Invested in bonds,0.0,94.89
2024-03-29,Investment,UPI,Invested in bonds,17.07,171.11
2024-03-28,Groceries,UPI,Bought vegetables and fruits,16.9,92.12
2024-03-11,Stationery,Debit Card,Stationery shopping for school,0.0,107.12
2024-03-17,Bills,Debit Card,Paid phone bill,0.0,336.36
2024-03-13,Insurance,UPI,Paid car insurance premium,39.12,954.93
2024-03-17,Insurance,Credit Card,Settled health insurance bill,0.0,467.56
2024-03-28,Transaction,UPI,Transferred money to friend,9.05,157.17
2024-03-28,Health,Cash,Paid for doctor consultation,0.0,477.32
2024-03-05,Groceries,UPI,Purchased organic produce,14.72,248.99
2024-03-16,Insurance,Credit Card,Settled health insurance bill,0.0,118.68
2024-03-16,Insurance,UPI,Completed insurance renewal,18.95,23.94
2024-03-23,Bills,Credit Card,Paid electricity bill,0.0,958.66
2024-03-02,Insurance,Cash,Completed insurance renewal,0.0,110.77
2024-03-05,Transaction,Debit Card,Transferred money to friend,0.0,326.83
2024-03-18,Groceries,Cash,Purchased organic produce,0.0,513.68
2024-03-29,Stationery,UPI,Stationery shopping for school,13.16,386.36
2024-03-29,Bills,Debit Card,Settled water bill,0.0,869.08
2024-03-22,Insurance,Cash,Settled health insurance bill,0.0,65.2
2024-03-19,Bills,Debit Card,Paid phone bill,0.0,773.09
2024-03-25,Insurance,Debit Card,Settled health insurance bill,0.0,197.08
2024-03-30,Transaction,Credit Card,Paid via online transfer,0.0,636.63
2024-03-24,Groceries,Cash,Bought vegetables and fruits,0.0,538.59
2024-03-25,Transaction,Cash,Sent money to relative,0.0,386.64
2024-03-11,Insurance,Debit Card,Paid car insurance premium,0.0,730.2
2024-03-29,Subscription,UPI,Subscribed to magazine,24.95,629.89
2024-03-25,Investment,Debit Card,Invested in mutual funds,0.0,317.73
2024-03-14,Transaction,UPI,Paid via online transfer,45.37,784.85
2024-03-07,Stationery,Credit Card,Purchased office supplies,0.0,737.07
2024-03-18,Groceries,Debit Card,Bought vegetables and fruits,0.0,523.56
2024-03-14,Subscription,Debit Card,Renewed streaming service subscription,0.0,330.89
2024-03-10,Stationery,Cash,Bought pens and notebooks,0.0,728.17
2024-03-06,Insurance,Credit Card,Settled health insurance bill,0.0,722.38
2024-03-20,Bills,Debit Card,Paid electricity bill,0.0,126.86
2024-03-30,Investment,UPI,Invested in bonds,45.72,340.92
2024-03-24,Stationery,UPI,Purchased office supplies,15.98,642.71
2024-03-27,Stationery,Cash,Bought pens and notebooks,0.0,430.57
2024-03-17,Transaction,Debit Card,Paid via online transfer,0.0,921.6
2024-03-09,Stationery,Debit Card,Bought pens and notebooks,0.0,400.79
2024-03-04,Insurance,Cash,Settled health insurance bill,0.0,876.48
2024-03-04,Health,Cash,Purchased vitamins and supplements,0.0,288.0
2024-03-25,Stationery,Cash,Bought pens and notebooks,0.0,319.78
2024-03-09,Subscription,Credit Card,Subscribed to magazine,0.0,91.71
2024-03-10,Stationery,Cash,Bought pens and notebooks,0.0,36.99
2024-03-01,Groceries,UPI,Weekly grocery shopping,48.45,754.31
2024-03-07,Subscription,Cash,Renewed streaming service subscription,0.0,477.35
2024-03-02,Insurance,Cash,Settled health insurance bill,0.0,520.88
2024-03-24,Subscription,UPI,Renewed streaming service subscription,17.98,755.59
2024-03-02,Health,Cash,Bought medicine from pharmacy,0.0,606.16
2024-03-22,Investment,Debit Card,Invested in bonds,0.0,40.78
2024-03-04,Groceries,Credit Card,Purchased organic produce,0.0,435.99
2024-03-04,Bills,Credit Card,Paid phone bill,0.0,386.58
2024-03-02,Health,UPI,Paid for doctor consultation,42.35,786.06
2024-03-30,Insurance,Cash,Settled health insurance bill,0.0,39.24
2024-03-13,Bills,Cash,Settled water bill,0.0,136.92
2024-03-01,Stationery,UPI,Purchased office supplies,0.63,614.34
2024-03-18,Transaction,Debit Card,Paid via online transfer,0.0,94.42
2024-03-24,Investment,Cash,Purchased stocks,0.0,156.19
2024-03-12,Subscription,Cash,Renewed streaming service subscription,0.0,996.89
2024-03-05,Transaction,Cash,Sent money to relative,0.0,293.45
2024-03-15,Groceries,Cash,Bought vegetables and fruits,0.0,913.83
2024-03-14,Health,UPI,Purchased vitamins and supplements,36.39,732.29
2024-03-10,Subscription,Debit Card,Subscribed to magazine,0.0,860.9
2024-03-25,Bills,Debit Card,Paid phone bill,0.0,283.77
2024-03-25,Insurance,Cash,Completed insurance renewal,0.0,832.67
2024-03-10,Insurance,UPI,Paid car insurance premium,31.61,920.81
2024-03-02,Transaction,Credit Card,Paid via online transfer,0.0,805.49
2024-03-22,Investment,Cash,Invested in mutual funds,0.0,826.31
2024-03-06,Insurance,UPI,Completed insurance renewal,41.32,205.88
2024-03-29,Health,UPI,Paid for doctor consultation,19.4,209.48
2024-03-14,Subscription,Debit Card,Bought gym membership subscription,0.0,922.9
2024-03-28,Transaction,Cash,Transferred money to friend,0.0,562.22
2024-03-18,Health,Cash,Paid for doctor consultation,0.0,384.85
2024-03-23,Investment,Debit Card,Invested in mutual funds,0.0,17.98
2024-03-01,Groceries,Debit Card,Bought vegetables and fruits,0.0,52.89
2024-03-25,Groceries,Debit Card,Purchased organic produce,0.0,663.75
2024-03-07,Health,UPI,Bought medicine from pharmacy,45.15,384.21
2024-03-04,Subscription,Debit Card,Bought gym membership subscription,0.0,275.83
2024-03-25,Transaction,Credit Card,Transferred money to friend,0.0,918.57
2024-03-18,Transaction,UPI,Transferred money to friend,43.91,436.54
2024-03-27,Insurance,Credit Card,Paid car insurance premium,0.0,573.94
2024-03-05,Groceries,Cash,Weekly grocery shopping,0.0,340.2
2024-03-24,Stationery,Credit Card,Purchased office supplies,0.0,824.55
2024-03-07,Transaction,Cash,Sent money to relative,0.0,845.9
2024-03-09,Insurance,UPI,Paid car insurance premium,10.15,113.35
2024-03-06,Transaction,Cash,Transferred money to friend,0.0,684.57
2024-03-04,Health,Debit Card,Purchased vitamins and supplements,0.0,281.77
2024-03-24,Subscription,Credit Card,Renewed streaming service subscription,0.0,356.96
2024-03-28,Subscription,UPI,Bought gym membership subscription,42.46,836.35
2024-03-13,Groceries,Debit Card,Bought vegetables and fruits,0.0,217.61
2024-03-20,Investment,Credit Card,Invested in bonds,0.0,240.71
2024-03-02,Subscription,UPI,Bought gym membership subscription,6.68,438.62
2024-03-02,Health,Debit Card,Bought medicine from pharmacy,0.0,819.77
2024-03-11,Investment,UPI,Invested in bonds,42.33,756.19
2024-03-21,Bills,Cash,Settled water bill,0.0,696.99
2024-03-20,Groceries,Cash,Purchased organic produce,0.0,346.96
2024-03-28,Insurance,Cash,Paid car insurance premium,0.0,888.18
2024-04-05,Stationery,Cash,Bought pens and notebooks,0.0,286.96
2024-04-22,Bills,Debit Card,Paid phone bill,0.0,677.12
2024-04-28,Insurance,UPI,Completed insurance renewal,17.25,676.95
2024-04-09,Stationery,Cash,Stationery shopping for school,0.0,773.36
